Location ID,Location Name,Location Group,Location Type,Sensor ID,Place Open,Local Date/Time,UTC Date/Time,# of aggregated records,PM2.5 (ï¿½ï¿½g/mï¿½,PM2.5 (ï¿½ï¿½g/mï¿½ï¿½) c,0.3ï¿½ï¿½m particle c,CO2 (ppm) raw,CO2 (ppm) corrected,Temperature (ï¿½ï¿½C),Temperature (ï¿½ï¿½C) corre,Heat Index (ï¿½ï,Humidity (%) raw,Humidity (%) corrected,TVOC (ppb),TVOC index,NOX index,PM1 (ï¿½ï¿½g/,PM10 (ï¿½ï¿½g/,measure0,measure1,measure2,measure3,measure4,measure5,measure6,measure7,measure8,measure9,measure10,measure11,measure12,measure13,measure14,measure15,measure16,measure17,measure18,measure19
172532,Pasay Rotonda,,Outdoor,airgradient:34b7da9fa668,TRUE,1/19/2026 18:00,2026-01-19T10:00:00.000Z,19,42.8,42.8,1771,418,418,28.8,28.8,30.2,56,56,448,301,1,27.2,51.7,,,,,,,,,,,,,,,,,,,,
172532,Pasay Rotonda,,Outdoor,airgradient:34b7da9fa668,TRUE,1/19/2026 17:00,2026-01-19T09:00:00.000Z,60,35.5,35.5,1318,411,411,29.5,29.5,30.8,53,53,298,247,1,23.1,40.9,,,,,,,,,,,,,,,,,,,,
172532,Pasay Rotonda,,Outdoor,airgradient:34b7da9fa668,TRUE,1/19/2026 16:00,2026-01-19T08:00:00.000Z,60,27.6,27.6,960,403,403,30.5,30.5,31.5,49,49,137,132,1,17.7,28.8,,,,,,,,,,,,,,,,,,,,
172532,Pasay Rotonda,,Outdoor,airgradient:34b7da9fa668,TRUE,1/19/2026 15:00,2026-01-19T07:00:00.000Z,60,25.4,25.4,875,402,402,31.1,31.1,32.1,46,46,106,109,1,15.1,26,,,,,,,,,,,,,,,,,,,,
172532,Pasay Rotonda,,Outdoor,airgradient:34b7da9fa668,TRUE,1/19/2026 14:00,2026-01-19T06:00:00.000Z,60,29.3,29.3,1034,403,403,30.9,30.9,31.9,47,47,70,72,1,19.4,31.1,,,,,,,,,,,,,,,,,,,,
172532,Pasay Rotonda,,Outdoor,airgradient:34b7da9fa668,TRUE,1/19/2026 13:00,2026-01-19T05:00:00.000Z,60,32.6,32.6,1187,405,405,31,31,32,47,47,82,83,1,21.8,35.6,,,,,,,,,,,,,,,,,,,,
172532,Pasay Rotonda,,Outdoor,airgradient:34b7da9fa668,TRUE,1/19/2026 12:00,2026-01-19T04:00:00.000Z,58,29.8,29.8,1047,404,404,31.1,31.1,32.2,47,47,73,76,1,19.7,31.8,,,,,,,,,,,,,,,,,,,,
172532,Pasay Rotonda,,Outdoor,airgradient:34b7da9fa668,TRUE,1/19/2026 11:00,2026-01-19T03:00:00.000Z,56,30.8,30.8,1094,406,406,31,31,32.2,48,48,68,72,1,20,33.6,,,,,,,,,,,,,,,,,,,,
172532,Pasay Rotonda,,Outdoor,airgradient:34b7da9fa668,TRUE,1/19/2026 10:00,2026-01-19T02:00:00.000Z,44,39.8,39.8,1499,413,413,30.9,30.9,32.5,51,51,140,143,1,25.3,47.1,,,,,,,,,,,,,,,,,,,,
172532,Pasay Rotonda,,Outdoor,airgradient:34b7da9fa668,TRUE,1/19/2026 9:00,2026-01-19T01:00:00.000Z,60,39.3,39.3,1514,414,414,29.8,29.8,31.4,54,54,172,167,1,25.3,46.2,,,,,,,,,,,,,,,,,,,,
172532,Pasay Rotonda,,Outdoor,airgradient:34b7da9fa668,TRUE,1/19/2026 8:00,2026-01-19T00:00:00.000Z,60,35,35,1290,414,414,28.7,28.7,30,56,56,157,145,2,22.7,40.4,,,,,,,,,,,,,,,,,,,,
172532,Pasay Rotonda,,Outdoor,airgradient:34b7da9fa668,FALSE,1/19/2026 7:00,2026-01-18T23:00:00.000Z,60,39.7,39.7,1619,439,439,27.8,27.8,29,59,59,531,356,2,25.8,46.9,,,,,,,,,,,,,,,,,,,,
172532,Pasay Rotonda,,Outdoor,airgradient:34b7da9fa668,FALSE,1/19/2026 6:00,2026-01-18T22:00:00.000Z,60,37.1,37.1,1447,462,462,27.4,27.4,28.6,60,60,425,326,2,24.4,43.3,,,,,,,,,,,,,,,,,,,,
172532,Pasay Rotonda,,Outdoor,airgradient:34b7da9fa668,FALSE,1/19/2026 5:00,2026-01-18T21:00:00.000Z,60,31.7,31.7,1103,441,441,27.5,27.5,28.7,60,60,238,216,2,20.8,35.1,,,,,,,,,,,,,,,,,,,,
172532,Pasay Rotonda,,Outdoor,airgradient:34b7da9fa668,FALSE,1/19/2026 4:00,2026-01-18T20:00:00.000Z,60,31.1,31.1,1188,427,427,27.2,27.2,28.4,61,61,127,123,1,18.1,33.9,,,,,,,,,,,,,,,,,,,,
172532,Pasay Rotonda,,Outdoor,airgradient:34b7da9fa668,FALSE,1/19/2026 3:00,2026-01-18T19:00:00.000Z,18,23.2,23.2,750,420,420,27.1,27.1,28.3,61,61,50,51,1,10.9,24,,,,,,,,,,,,,,,,,,,,
172532,Pasay Rotonda,,Outdoor,airgradient:34b7da9fa668,FALSE,1/19/2026 1:00,2026-01-18T17:00:00.000Z,42,8.5,8.5,468,412,412,26.8,26.8,28,61,61,30,27,1,4.4,9.2,,,,,,,,,,,,,,,,,,,,
