"id","location_key","timestamp_utc","pm25","temperature_c","humidity_pct","pm1","pm10","co2","tvoc","has_pm1","has_pm10","has_co2","has_tvoc","source","raw_payload","inserted_at"
"267694","openaq:1845518","2023-11-16 10:00:00+00",NULL,"30.899999999999995",NULL,NULL,NULL,NULL,NULL,False,False,False,False,"openaq",NULL,"2026-06-10 08:13:35.899768+00"
"267695","openaq:1845518","2023-11-16 11:00:00+00",NULL,"30.600000000000005",NULL,NULL,NULL,NULL,NULL,False,False,False,False,"openaq",NULL,"2026-06-10 08:13:35.899768+00"
"267696","openaq:1845518","2023-11-16 12:00:00+00",NULL,"30.100000000000005",NULL,NULL,NULL,NULL,NULL,False,False,False,False,"openaq",NULL,"2026-06-10 08:13:35.899768+00"
"267697","openaq:1845518","2023-11-16 13:00:00+00",NULL,"30",NULL,NULL,NULL,NULL,NULL,False,False,False,False,"openaq",NULL,"2026-06-10 08:13:35.899768+00"
"267698","openaq:1845518","2023-11-16 14:00:00+00",NULL,"29.2",NULL,NULL,NULL,NULL,NULL,False,False,False,False,"openaq",NULL,"2026-06-10 08:13:35.899768+00"
"267699","openaq:1845518","2023-11-16 15:00:00+00",NULL,"29.3",NULL,NULL,NULL,NULL,NULL,False,False,False,False,"openaq",NULL,"2026-06-10 08:13:35.899768+00"
"267700","openaq:1845518","2023-11-16 16:00:00+00",NULL,"29.399999999999995",NULL,NULL,NULL,NULL,NULL,False,False,False,False,"openaq",NULL,"2026-06-10 08:13:35.899768+00"
"267701","openaq:1845518","2023-11-16 17:00:00+00",NULL,"28.7",NULL,NULL,NULL,NULL,NULL,False,False,False,False,"openaq",NULL,"2026-06-10 08:13:35.899768+00"
"267702","openaq:1845518","2023-11-16 18:00:00+00",NULL,"28.600000000000005",NULL,NULL,NULL,NULL,NULL,False,False,False,False,"openaq",NULL,"2026-06-10 08:13:35.899768+00"
"267703","openaq:1845518","2023-11-16 19:00:00+00",NULL,"28.7",NULL,NULL,NULL,NULL,NULL,False,False,False,False,"openaq",NULL,"2026-06-10 08:13:35.899768+00"
