"location_key","source","external_id","name","locality","country_iso","owner_name","provider_name","is_monitor","is_mobile","latitude","longitude","geom","created_at","updated_at"
"manila:SDG","manila",NULL,NULL,"Metro Manila","PH","AirGradient","AirGradient",True,False,NULL,NULL,NULL,"2026-06-09 17:50:31.128335+00","2026-06-10 19:06:59.257704+00"
"manila:cubao","manila",NULL,NULL,"Metro Manila","PH","AirGradient","AirGradient",True,False,NULL,NULL,NULL,"2026-06-09 17:50:31.128335+00","2026-06-10 19:06:59.257704+00"
"manila:lawton","manila",NULL,NULL,"Metro Manila","PH","AirGradient","AirGradient",True,False,NULL,NULL,NULL,"2026-06-09 17:50:31.128335+00","2026-06-10 19:06:59.257704+00"
"manila:makati","manila",NULL,NULL,"Metro Manila","PH","AirGradient","AirGradient",True,False,NULL,NULL,NULL,"2026-06-09 17:50:31.128335+00","2026-06-10 19:06:59.257704+00"
"manila:pasay","manila",NULL,NULL,"Metro Manila","PH","AirGradient","AirGradient",True,False,NULL,NULL,NULL,"2026-06-09 17:50:31.128335+00","2026-06-10 19:06:59.257704+00"
"openaq:11568","openaq","11568","SPARTAN - Manila Observatory","NaN","PH","Unknown Governmental Organization","Spartan",True,False,14.635,121.08,"0101000020E610000085EB51B81E455E4085EB51B81E452D40","2026-06-09 17:50:16.015093+00","2026-06-10 15:53:52.679314+00"
"openaq:1235975","openaq","1235975","Newton","NaN","SG","Unknown Governmental Organization","AirGradient",False,False,1.314694,103.839758,"0101000020E61000007BA35698BEF5594073F56393FC08F53F","2026-06-09 17:50:16.015093+00","2026-06-10 15:53:52.679314+00"
"openaq:1235990","openaq","1235990","Kasetsart university laboratory school 1, Chatuchak, Bangkok","NaN","TH","Unknown Governmental Organization","AirGradient",False,False,13.850829210818615,100.56881779163187,"0101000020E6100000471CBD826724594017E5E5E29FB32B40","2026-06-06 13:35:24.296129+00","2026-06-10 15:53:52.679314+00"
"openaq:1236002","openaq","1236002","The National Science Museum, Thailand (NSM)","NaN","TH","Unknown Governmental Organization","AirGradient",False,False,14.059029941320787,100.72229270474135,"0101000020E610000039402E0B3A2E594048EA262C391E2C40","2026-06-06 13:35:24.296129+00","2026-06-10 15:53:52.679314+00"
"openaq:1236034","openaq","1236034","Watkhemapirataram school 1, Mueang, Nonthaburi","NaN","TH","Unknown Governmental Organization","AirGradient",False,False,13.823306342907303,100.50341971861289,"0101000020E6100000A6E6560738205940A1C0B26888A52B40","2026-06-09 17:50:16.015093+00","2026-06-10 15:53:52.679314+00"
